Rank,University,Lowest Place,#
1,Oxford Brookes University,1st,1
2,University of Strathclyde,4th,1
3,University of Bath,6th,1
4,University Of Hertfordshire,8th,1
5,Queen's University Belfast,12th,1
6,University of Surrey,18th,1
7,Brunel University London,N/A,0
8,Coventry University,N/A,0
9,Heriot-Watt University,N/A,0
10,Imperial College London,N/A,0
11,Kingston University,N/A,0
12,Lancaster  University,N/A,0
13,Liverpool John Moores University,N/A,0
14,Loughborough University,N/A,0
15,Manchester Metropolitan University,N/A,0
16,Newcastle University,N/A,0
17,University of Birmingham,N/A,0
18,University of Bristol,N/A,0
19,University of Leicester,N/A,0
20,University of Nottingham,N/A,0
21,University of Oxford,N/A,0
22,University of Southampton,N/A,0
23,University of Sussex,N/A,0
24,University of Warwick,N/A,0
