Rank,University,Points
1,Instituto Tecnológico de Chihuahua,362.24
2,Universidad LaSalle,328.9
3,Universidad Nacional Autónoma de México,157.5
4,Universidad Autónoma del Estado de México,34.0
5,ESIA San Luis Potosi,3.0
6,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,0.0
7,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,0.0
8,Instituto Politécnico Nacional,0.0
9,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,0.0
10,Universidad Iberoamericana,0.0
11,Universidad Panamericana Sede México,0.0
