Rank,University,Lowest Place,#
1,Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,1st,1
2,Escola Superior d'Enginyeries Industrial Aeroespacial i Audiovisual de Terrassa (UPC),2nd,1
3,TECNUN - University of Navarra,5th,1
4,University of the Basque Country,5th,1
5,University of Seville,6th,1
6,Escola d'Enginyeria de Barcelona Est. EEBE,8th,1
7,Universidad de Castilla-La Mancha,N/A,0
8,Universidad de Oviedo,N/A,0
9,Universidad Politécnica de Cartagena,N/A,0
10,Universidad Politécnica de Madrid (UPM),N/A,0
11,Universidad Pontificia Comillas,N/A,0
12,University of Alcalá,N/A,0
