Rank,University,Points
1,Pimpri Chinchwad College Of Engineering,100.0
2,Smt. Kashibai Navale College of Engineering,100.0
3,K. J. Somaiya College of Engineering,90.97
4,Delhi Technological University,0.0
5,Dwarkadas. J. Sanghvi College of Engineering,0.0
6,Indian Institute of Technology Bombay,0.0
7,Indian Institute of Technology Delhi,0.0
8,Indian Institute of Technology Roorkee,0.0
9,MCT's Rajiv Gandhi Institute of Technology,0.0
10,MIT World Peace University,0.0
11,PSG Institute of Technology and Applied Research,0.0
12,R.V.College of Engineering,0.0
13,Ramaiah Institute of Technology,0.0
14,Sardar Patel College of Engineering Mumbai,0.0
15,SRM Institute of Science and Technology - Kattankulathur,0.0
16,VIT University - Chennai,0.0
17,VIT University - Vellore,0.0
